"Wavelength, µm",n,k
0.43,2.871698453,0
0.441,2.837399124,0
0.452,2.807398242,0
0.463,2.780953841,0
0.474,2.757485126,0
0.485,2.736530851,0
0.496,2.717720001,0
0.507,2.700750727,0
0.518,2.685374932,0
0.529,2.67138681,0
0.54,2.658614213,0
0.551,2.646912038,0
0.562,2.636157132,0
0.573,2.626244298,0
0.584,2.617083146,0
0.595,2.608595587,0
0.606,2.600713816,0
0.617,2.59337868,0
0.628,2.586538348,0
0.639,2.580147219,0
0.65,2.574165018,0
0.661,2.568556046,0
0.672,2.563288553,0
0.683,2.558334211,0
0.694,2.553667666,0
0.705,2.549266168,0
0.716,2.545109239,0
0.727,2.541178408,0
0.738,2.537456966,0
0.749,2.533929768,0
0.76,2.530583054,0
0.771,2.527404298,0
0.782,2.524382071,0
0.793,2.521505929,0
0.804,2.518766308,0
0.815,2.516154434,0
0.826,2.513662247,0
0.837,2.511282328,0
0.848,2.509007839,0
0.859,2.506832468,0
0.87,2.504750379,0
0.881,2.50275617,0
0.892,2.500844835,0
0.903,2.499011725,0
0.914,2.497252521,0
0.925,2.495563206,0
0.936,2.493940036,0
0.947,2.492379521,0
0.958,2.490878402,0
0.969,2.489433636,0
0.98,2.488042372,0
0.991,2.486701945,0
1.002,2.485409854,0
1.013,2.484163755,0
1.024,2.482961446,0
1.035,2.481800857,0
1.046,2.480680043,0
1.057,2.47959717,0
1.068,2.478550514,0
1.079,2.477538448,0
1.09,2.476559435,0
1.101,2.475612026,0
1.112,2.474694852,0
1.123,2.473806617,0
1.134,2.472946096,0
1.145,2.472112129,0
1.156,2.471303616,0
1.167,2.470519516,0
1.178,2.469758839,0
1.189,2.469020649,0
1.2,2.468304052,0
1.211,2.467608204,0
1.222,2.466932298,0
1.233,2.466275569,0
1.244,2.465637288,0
1.255,2.465016761,0
1.266,2.464413326,0
1.277,2.463826353,0
1.288,2.46325524,0
1.299,2.462699413,0
1.31,2.462158326,0
1.321,2.461631454,0
1.332,2.461118298,0
1.343,2.46061838,0
1.354,2.460131243,0
1.365,2.45965645,0
1.376,2.459193583,0
1.387,2.45874224,0
1.398,2.458302038,0
1.409,2.457872609,0
1.42,2.4574536,0
1.431,2.457044675,0
1.442,2.456645507,0
1.453,2.456255786,0
1.464,2.455875213,0
1.475,2.4555035,0
1.486,2.455140373,0
1.497,2.454785566,0
1.508,2.454438825,0
1.519,2.454099904,0
1.53,2.453768567,0
